List Of All Solo,,,,,,,,,
,,,,,,,,,
Nr,Map,Time,Players,Hero,Area,New Better time or its duplicit,Accepted,Comments,Dates
1,CC,4.37,Vikenti,Shade,41,FALSE,FALSE,,25 Oct 20
2,CC,4.40,Creazy,Shade,41,FALSE,FALSE,,25 Oct 20
3,CC,5.28,fAtKiD,Necro,41,FALSE,FALSE,f,07.mai.20
4,CC,5.34,Jackal,Chrono,41,FALSE,FALSE,C,8.may.20
5,CC,6.03,Fortish,Necro,41,FALSE,TRUE,,02.aug.20
6,CC,8.31,Piou,Chrono,41,FALSE,FALSE,C,17.Apr.20
7,CCH,9.33,tтеуmlI,Ghoul,41,TRUE,FALSE,Ban,19.jūl.20
8,CCH,14.29,Damasus,Reaper,41,FALSE,TRUE,,28 May 20
9,CCH,24.27,Vikenti,Necro,41,FALSE,TRUE,,5 May 20
10,HaHa,3.39,TheTroll,Morfe,16,FALSE,TRUE,Morfe i dint use first XD,03.jūl.20
11,HaHa,3.52,Maikri,Reaper,16,TRUE,FALSE,,06.jūn.20
12,HaHa,4.51,Piou,Rameses,16,FALSE,TRUE,,20 Apr 20
13,HaHa,5.26,Vikenti,Necro,16,FALSE,TRUE,,24.sep.20
14,HaHa,8.06,☺♣○•♣♥☻♦♠◘,Chrono,16,FALSE,TRUE,changed to Chrono cause maybe wrong before,21 Jun 20
15,VV,5.19,fAtKiD,Rime,41,FALSE,TRUE,f lol,19.jūl.20
16,VV,5.47,TheTroll,Jolt,41,FALSE,TRUE,maybe OO farm,16 Jun.20
17,VV,7.06,Jackal,Jolt,41,FALSE,TRUE,,16 Jun 20
18,VV,10.07,Piou,Cent,41,FALSE,TRUE,,15 Apr 20
19,VVH,79.57,Maikri,Shade,41,FALSE,FALSE,off,21 Mar 20
20,WW,12.25,Jackal,Cent,81,TRUE,TRUE,,10.jūl.20
21,WW,15.20,Gor4itca,Cent,81,TRUE,TRUE,,25 Apr 20
22,WW,22.39,AWEN,Cent,81,FALSE,TRUE,A-man,1 Mar 20
23,WW,53.53,Heureux,Necro,81,FALSE,TRUE,,21 Mar 20
24,GG,6.34,Vikenti,Rime,41,FALSE,TRUE,,03.sep.20
25,GG,6.38,TheTroll,Jolt,41,FALSE,TRUE,maybe OO farm,21.mai.20
26,GG,6.55,Pentagonis,Necro,41,FALSE,TRUE,,23.jūl.20
27,GG,6.57,AWEN,Necro,41,FALSE,TRUE,,9 May 20
28,GG,8.31,ksvmd,Rameses,41,FALSE,TRUE,,31.aug.20
29,GG,8.52,tтеуmlI,Necro,41,FALSE,FALSE,Ban idk why longer,27.jūl.20
30,GG,9.40,Smiley,Rime,41,FALSE,TRUE,,9.sep.20
31,GG,9.43,EXpat,Necro,41,FALSE,TRUE,,20.aug.20
32,GG,9.52,Piou,Rameses,41,FALSE,TRUE,,15 Apr 20
33,GGH_old,24.48,AWEN,Necro,41,FALSE,TRUE,,05.okt.20
34,DD,11.04,tтеуmlI,Ghoul,81,FALSE,FALSE,Ban,20.jūl.20
35,DD,11.26,TheTroll,Jolt,81,TRUE,TRUE,,11.jūl.20
36,DD,11.27,Darklight,Nexus,81,FALSE,TRUE,,21.jūn.20
37,DD,13.39,TUFE,Morfe,81,FALSE,FALSE,Morfe didnt use first so on,22.jūl.20
38,DD,28.58,Jackal,Cent,81,FALSE,TRUE,,11.jūl.20
39,PPI,3.37,☺♣○•♣♥☻♦♠◘,Jötunn,29,FALSE,TRUE,,11.jūl.20
40,PPI,5.17,Piou,Chrono,29,FALSE,FALSE,C,17 Apr 20
41,PPI,6.33,Jackal,Necro,29,FALSE,TRUE,,5.May.20
42,PPP,2.28,☺♣○•♣♥☻♦♠◘,Chrono,31,TRUE,FALSE,C,7.jūl.20
43,PPP,2.33,Smiley,Chrono,31,TRUE,FALSE,C,30 Jun 20
44,PPP,2.40,TheTroll,Necro,31,FALSE,TRUE,,03.jūl.20
45,PPP,2.41,Jackal,Necro,31,TRUE,TRUE,,21.okt.20
46,PPP,2.48,Maikri,Necro,31,TRUE,FALSE,,10.jūn.20
47,PPP,3.01,Jayyyyyyyyyyyyyy,Chrono,31,FALSE,FALSE,C,29 May 20
48,PPP,3.06,AWEN,Necro,31,FALSE,TRUE,,31 May 20
49,PPP,3.13,fAtKiD,Necro,31,FALSE,TRUE,f lol,8 Apr 20
50,PPP,3.33,Darklight,Necro,31,FALSE,TRUE,,26.Mar.19
51,PPP,3.37,Gor4itca,Cent,31,FALSE,TRUE,,16 May 20
52,MM,15.20,Jackal,Cent,121,FALSE,TRUE,,8.aug.20
53,HH,16.07,Jackal,Cent,81,TRUE,TRUE,duplicit,18.jūl.20
54,QQ_old,15.19,Smiley,Cent,81,TRUE,TRUE,,11.aug.20
55,QQ_old,17.05,Piou,Chrono,81,FALSE,FALSE,C,22 Apr 20
56,QQ_old,17.41,Gor4itca,Cent,81,FALSE,TRUE,,13.okt.20
57,QQ_old,18.12,AWEN,Necro,81,FALSE,TRUE,,9 May 20
58,FF,10.16,AWEN,Cent,41,TRUE,TRUE,,2 Jun 20
59,FF,13.05,Smiley,Jötunn,41,FALSE,TRUE,,09.sep.20
60,FF,14.11,JuanJoyaBorja,Cent,41,TRUE,TRUE,,28 Feb 19
61,FF,14.32,⚝Simba⚝,Magmax,41,TRUE,FALSE,,09.apr.20
62,FF,14.55,Maikri,Magmax,41,TRUE,FALSE,off,10.jūn.20
63,FF,16.05,Piou,Cent,41,FALSE,TRUE,,10 Apr 20
64,OO,18.37,Gor4itca,Cent,16,TRUE,TRUE,,19 May 20
65,RR,13.50,TheTroll,Reaper,43,FALSE,TRUE,,24.mar.20
66,RR,15.05,Fortish,Reaper,43,TRUE,TRUE,,29.mar.20
67,RR,15.19,Jackal,Necro,43,TRUE,TRUE,Next day he got 15.00,26.okt.20
68,RR,16.37,tтеуmlI,Ghoul,43,TRUE,FALSE,Ban,16.jūn.20
69,RR,33.58,Piou,Cent,43,FALSE,TRUE,,9 Apr 20
70,CC,4.24,Vikenti,Candy,41,FALSE,FALSE,,29.Sep.20
71,CC,4.29,Pasemrus,Candy,41,FALSE,FALSE,,21.aug.20
72,CC,4.36,piger,Shade,41,FALSE,FALSE,,27.oct.20
73,CC,4.38,Creazy,Candy,41,FALSE,FALSE,,14.oct.20
74,CC,4.43,Shoyas,Candy,41,FALSE,FALSE,,15.aug.20
75,CC,4.51,fAtKiD,Candy,41,TRUE,FALSE,,18 Apr 20
76,CC,4.59,Jackal,Magmax,41,FALSE,FALSE,,16.okt.20
77,CC,5.04,TheTroll,Candy,41,FALSE,FALSE,,14.aug.20
78,CC,5.07,Fauderix,Candy,41,FALSE,FALSE,,28 Nov 19
79,CC,5.09,Smiley,Candy,41,FALSE,FALSE,,13.aug.20
80,CCH,6.58,Vikenti,Chrono,41,FALSE,FALSE,C,03.jūn.20
81,CCH,7.25,Fauderix,Jötunn,41,FALSE,TRUE,,19 May 20
82,CCH,7.30,fAtKiD,Jötunn,41,FALSE,TRUE,f lol,20.jūn.20
83,CCH,7.36,Pentagonis,Jötunn,41,FALSE,TRUE,,18 May 20
84,CCH,8.45,Oxymoronic,Jötunn,41,FALSE,TRUE,,Before 28 Nov 19
85,CCH,8.57,DD1,Aurora,41,FALSE,TRUE,Nerf,10 Oct 18
86,CCH,9.13,снегири,Rameses,41,FALSE,TRUE,-1sec?,22.aug.20
87,CCH,9.33,tтеуmlI,Ghoul,41,FALSE,FALSE,Ban,19.jūl.20
88,CCH,10.32,Pasemrus,Rameses,41,FALSE,TRUE,,03.okt.20
89,CCH,10.50,AWEN,Jötunn,41,TRUE,TRUE,,5.aug.20
90,HaHa,2.13,Maikri,Shade,16,TRUE,FALSE,off,25 Oct 20
91,HaHa,2.16,Smiley,Shade,16,FALSE,FALSE,,25 Oct 20
92,HaHa,2.19,Vikenti,Shade,16,FALSE,FALSE,,25 Oct 20
93,HaHa,2.24,Jackal,Shade,16,FALSE,FALSE,,25 Oct 20
94,HaHa,2.25,PotatoNuke,Shade,16,FALSE,FALSE,,25 Oct 20
95,HaHa,2.28,TUFE,Shade,16,FALSE,FALSE,,25 Oct 20
96,HaHa,2.28,Jayyyyyyyyyyyyyy,Shade,16,FALSE,FALSE,,25 Oct 20
97,HaHa,2.39,Ventinari,Shade,16,FALSE,FALSE,,25 Oct 20
98,HaHa,2.40,Stryker123,Shade,16,FALSE,FALSE,,25 Oct 20
99,HaHa,2.41,sgrtpepper,Ghoul,16,FALSE,FALSE,,07.sep.20
100,VV,4.04,Vikenti,Candy,41,FALSE,FALSE,,05.jūl.20
101,VV,4.16,Creazy,Candy,41,FALSE,FALSE,,21.okt.20
102,VV,4.23,Fauderix,Candy,41,FALSE,FALSE,,20 Jun 20
103,VV,4.24,asdfasdfasdf1234,Candy,41,FALSE,FALSE,,21.okt.20
104,VV,4.27,Darklight,Candy,41,FALSE,FALSE,,14 Jun 20
105,VV,4.29,fAtKiD,Candy,41,FALSE,FALSE,,28.aug.20
106,VV,4.44,Maikri,Candy,41,TRUE,FALSE,off,01.okt.20
107,VV,4.44,Jackal,Magmax,41,FALSE,FALSE,,14.okt.20
108,VV,4.45,Smiley,Candy,41,FALSE,FALSE,,5.aug.20
109,VV,4.49,DD1,Candy,41,FALSE,FALSE,,29 Sep 19
110,VVH,8.27,piger,Candy,41,FALSE,FALSE,he said he cheated,28.sep.20
111,VVH,10.26,Pentagonis,Rameses,41,FALSE,TRUE,,09.jūn.20
112,VVH,15.46,Maikri,Rameses,41,FALSE,FALSE,,17.sep.20
113,VVH,16.38,CrEoP,Rameses,41,FALSE,TRUE,,11.jūl.20
114,VVH,17.23,maxim22,Rameses,41,FALSE,TRUE,,11 Apr 20
115,VVH,17.33,Smiley,Rameses,41,FALSE,TRUE,,18.aug.20
116,VVH,21.15,снегири,Rameses,41,FALSE,TRUE,,4.jūl.20
117,VVH,37.58,yo,Rameses,41,FALSE,TRUE,,30.Mar.20
118,EE_old,12.54,Vikenti,Chrono,81,FALSE,FALSE,C,31.mai.20
119,EE_old,13.14,Pentagonis,Chrono,81,FALSE,FALSE,C,6 Aug 19
120,EE_old,13.39,Ҝâ℟ŧα,Rameses,81,FALSE,TRUE,,5.jūl.20
121,EE_old,15.17,Maikri,Reaper,81,FALSE,FALSE,,02.okt.20
122,EE_old,16.39,Strat,Rameses,81,FALSE,TRUE,,31.Jan.20
123,EE_old,17.12,Damasus,Rameses,81,FALSE,TRUE,,29.Jan.20
124,EE_old,17.42,Creazy,Rameses,81,TRUE,TRUE,,14.okt.20
125,EE_old,20.21,Ravelfett,Rameses,81,FALSE,TRUE,,6 Aug 19
126,EE_old,23.05,Oxymoronic,Magmax,81,FALSE,FALSE,,22 Oct 18
127,EE_old,24.02,Fauderix,Magmax,81,FALSE,FALSE,,3 Jan 20
128,WW,11.17,Maikri,Jötunn,81,FALSE,FALSE,,03.okt.20
129,WW,12.25,Jackal,Cent,81,FALSE,TRUE,,10.jūl.20
130,WW,12.54,Harmony556,Chrono,81,FALSE,FALSE,C,11 May 20
131,WW,14.14,ADMINkiller|ƊĒ|,Rameses,81,FALSE,TRUE,,15.aug.20
132,WW,14.21,fAtKiD,Rameses,81,FALSE,TRUE,f lol,6.Mar.20
133,WW,14.31,FarmVP,Rameses,81,FALSE,TRUE,,13.aug.20
134,WW,14.47,Strat,Rameses,81,FALSE,TRUE,,Before 28 Nov 19
135,WW,15.20,Gor4itca,Cent,81,FALSE,TRUE,,25 Apr 20
136,WW,15.45,Pentagonis,Rameses,81,FALSE,TRUE,,16 Aug 19
137,WW,15.58,TUFE,Rameses,81,FALSE,TRUE,,19.jūn.20
138,GG,4.41,Vikenti,Shade,41,FALSE,FALSE,,25 Oct 20
139,GG,4.46,Maikri,Cent,41,FALSE,FALSE,,27.aug.20
140,GG,4.53,Gor4itca,Cent,41,FALSE,TRUE,,24.aug.20
141,GG,5.09,fAtKiD,Mirage,41,FALSE,TRUE,f lol,28 May 20
142,GG,5.10,AWEN,Shade,41,FALSE,FALSE,,25 Oct 20
143,GG,5.14,TheTroll,Mirage,41,FALSE,TRUE,,05.aug.20
144,GG,5.15,Jayyyyyyyyyyyyyy,Shade,41,FALSE,FALSE,,26.oct.20
145,GG,5.16,Jackal,Cent,41,FALSE,TRUE,,15.okt.20
146,GG,5.29,Oxymoronic,Magmax,41,FALSE,FALSE,,Before 28 Nov 19
147,GG,5.30,Smiley,Ghoul,41,FALSE,FALSE,,30.jūl.20
148,GGH_old,6.22,Jackal,Cent,41,FALSE,TRUE,,09.okt.20
149,GGH_old,7.13,en0ugh,Cent,41,FALSE,TRUE,снегири friend?,17.sep.20
150,GGH_old,7.16,Gor4itca,Cent,41,FALSE,TRUE,,26.aug.20
151,GGH_old,8.38,Maikri,Rameses,41,FALSE,FALSE,Maikri,24.aug.20
152,GGH_old,9.06,AWEN,Rameses,41,FALSE,TRUE,,24.aug.20
153,GGH_old,10.18,⚝Simba⚝,Reaper,41,FALSE,TRUE,Cant find it,After 24 Aug 20
154,GGH_old,10.45,Smiley,Rameses,41,FALSE,TRUE,,24.aug.20
155,GGH_old,11.09,DD1,Reaper,41,FALSE,TRUE,,27.oct.20
156,GGH_old,12.00,снегири,Rameses,41,FALSE,TRUE,,25.aug.20
157,GGH_old,13.06,Crank,Rameses,41,FALSE,TRUE,Jojanah,31.aug.20
158,DD,9.16,Shoyas,Mirage,81,FALSE,TRUE,,05.aug.20
159,DD,9.36,fAtKiD,Chrono,81,FALSE,FALSE,C,16.jūl.20
160,DD,9.37,Vikenti,Chrono,81,FALSE,FALSE,C,30 May 20
161,DD,9.55,Jackal,Chrono,81,FALSE,FALSE,C,28.jūn.20
162,DD,10.03,piger,Necro,81,FALSE,TRUE,,10 Jun 20
163,DD,10.05,Maikri,Chrono,81,FALSE,FALSE,,9.aug.20
164,DD,10.08,Fauderix,Mirage,81,FALSE,TRUE,,17 Apr 20
165,DD,10.09,CrEoP,Chrono,81,FALSE,FALSE,C (asdf),22.okt.20
166,DD,10.22,DD1,,81,FALSE,FALSE,,8 Oct 18
167,DD,10.34,Fortish,Chrono,81,FALSE,FALSE,C,15.okt.20
168,PPI,2.04,Shoyas,Candy,29,FALSE,FALSE,,23.okt.20
169,PPI,2.06,asdfasdfasdf1234,Candy,29,FALSE,FALSE,,23.sep.20
170,PPI,2.07,Smiley,Candy,29,FALSE,FALSE,,18.aug.20
171,PPI,2.08,Creazy,Candy,29,FALSE,FALSE,,23.sep.20
172,PPI,2.10,fAtKiD,Candy,29,FALSE,FALSE,,7 May 20
173,PPI,2.17,TheTroll,Candy,29,FALSE,FALSE,,03.aug.20
174,PPI,2.17,Jackal,Candy,29,FALSE,FALSE,,15.okt.20
175,PPI,2.19,⚝Simba⚝,Mirage,29,FALSE,TRUE,,15.Mar.20
176,PPI,2.23,yo,Mirage,29,FALSE,TRUE,,30.dec.19
177,PPI,2.25,Fauderix,Mirage,29,FALSE,TRUE,31? 2.23 +-2?,30 Nov 19
178,PPP,1.50,☺♣○•♣♥☻♦♠◘,Shade,31,FALSE,FALSE,,25 Oct 20
179,PPP,1.59,fAtKiD,Candy,31,FALSE,FALSE,,6.aug.20
180,PPP,2.03,Smiley,Candy,31,FALSE,FALSE,,5.aug.20
181,PPP,2.06,TheTroll,Magmax,31,FALSE,FALSE,,17.aug.20
182,PPP,2.12,yIzaac😎👌,Shade,31,FALSE,FALSE,,25 Oct 20
183,PPP,2.16,yo,Mirage,31,FALSE,TRUE,,30.dec.19
184,PPP,2.16,Jackal,Mirage,31,FALSE,TRUE,,3.aug.20
185,PPP,2.18,Darklight,Candy,31,FALSE,FALSE,,6.aug.20
186,PPP,2.31,Jayyyyyyyyyyyyyy,Candy,31,FALSE,FALSE,,13.aug.20
187,PPP,2.35,sgrtpepper,Necro,31,FALSE,TRUE,,19.aug.20
188,MM,13.01,TheTroll,Candy,121,FALSE,FALSE,,02.aug.20
189,MM,13.21,Jackal,Magmax,121,FALSE,FALSE,,17.aug.20
190,MM,13.42,Maikri,Magmax,121,FALSE,FALSE,off,18.aug.20
191,MM,13.43,fAtKiD,Chrono,121,FALSE,FALSE,C,9 May 20
192,MM,13.43,tтеуmlI,Chrono,121,FALSE,FALSE,C,18 Jun 20
193,MM,13.56,Oxymoronic,Chrono,121,FALSE,FALSE,C,9 May 20
194,MM,14.17,Harmony556,Chrono,121,FALSE,FALSE,C,6 May 20
195,MM,14.39,Darklight,Chrono,121,FALSE,FALSE,C,21.Apr.20
196,MM,14.43,Strat,Chrono,121,FALSE,FALSE,C,28.Feb.20
197,MM,15.31,LaBaguette,Rameses,121,FALSE,TRUE,,15 Feb 20
198,HH,16.07,Jackal,Cent,81,FALSE,TRUE,,18.jūl.20
199,HH,16.57,Oxymoronic,Chrono,81,FALSE,FALSE,C,9 May 20
